,nameOfIssuer,titleOfClass,cusip,value,sshPrnamt,sshPrnamtType,investmentDiscretion,votingAuthoritySole,votingAuthorityShared,votingAuthorityNone
2493,SIX FLAGS ENTMT CORP NEW,COM,83001A102,10391823,414347,SH,SOLE,414347,0,0
2494,SIX FLAGS ENTMT CORP NEW,COM,83001A102,30096000,1200000,SH,SOLE,1200000,0,0
2495,SJW GROUP,COM,784305104,600305,9186,SH,SOLE,9186,0,0
2496,SKYWARD SPECIALTY INS GROUP,COM,830940102,1252882,36980,SH,SOLE,36980,0,0
2497,SLEEP NUMBER CORP,COM,83125X103,44698,3014,SH,OTR,0,3014,0
2498,SLEEP NUMBER CORP,COM,83125X103,1650979,111327,SH,SOLE,111327,0,0
2499,SM ENERGY CO,COM,78454L100,644882,16655,SH,SOLE,16655,0,0
2500,SMART GLOBAL HLDGS INC,SHS,G8232Y101,124162,6559,SH,OTR,0,6559,0
2501,SMART GLOBAL HLDGS INC,SHS,G8232Y101,1178090,62234,SH,SOLE,62234,0,0
2502,SMARTSHEET INC,COM CL A,83200N103,445204,9310,SH,OTR,0,9310,0
2503,SMARTSHEET INC,COM CL A,83200N103,2258443,47228,SH,SOLE,47228,0,0
2504,SMARTSHEET INC,COM CL A,83200N103,5738400,120000,SH,SOLE,120000,0,0
2505,SMITH MIDLAND CORP,COM,832156103,334644,8472,SH,SOLE,8472,0,0
2506,SMUCKER J M CO,COM NEW,832696405,48933830,387196,SH,SOLE,387196,0,0
2507,SNAP INC,CL A,83304A106,3809250,225000,SH,SOLE,225000,0,0
2508,SNAP INC,CL A,83304A106,38326151,2263801,SH,SOLE,2263801,0,0
2509,SNAP ON INC,COM,833034101,323501,1120,SH,SOLE,1120,0,0
2510,SNOWFLAKE INC,CL A,833445109,13532,68,SH,OTR,0,68,0
2511,SNOWFLAKE INC,CL A,833445109,796000,4000,SH,SOLE,4000,0,0
2512,SNOWFLAKE INC,CL A,833445109,1930300,9700,SH,SOLE,9700,0,0
2513,SNOWFLAKE INC,CL A,833445109,38943106,195694,SH,SOLE,195694,0,0
2514,SOCIEDAD QUIMICA Y MINERA DE,SPON ADR SER B,833635105,10078660,167364,SH,SOLE,167364,0,0
2515,SOFI TECHNOLOGIES INC,COM,83406F102,7511255,754900,SH,SOLE,754900,0,0
2516,SOHO HOUSE & CO INC,COM CL A,586001109,92937,13053,SH,SOLE,13053,0,0
2517,SOLARIS OILFIELD INFRASTRUCT,COM CL A,83418M103,247827,31134,SH,SOLE,31134,0,0
2518,SOLARWINDS CORP,COM NEW,83417Q204,106814,8552,SH,OTR,0,8552,0
2519,SOLARWINDS CORP,COM NEW,83417Q204,188287,15075,SH,SOLE,15075,0,0
2520,SOLENO THERAPEUTICS INC,COM,834203309,37306759,926876,SH,SOLE,926876,0,0
2521,SOMALOGIC INC,CLASS A COM,83444K105,6305625,2492342,SH,SOLE,2492342,0,0
2522,SONIC AUTOMOTIVE INC,CL A,83545G102,2883742,51303,SH,SOLE,51303,0,0
2523,SONOCO PRODS CO,COM,835495102,1916341,34300,SH,SOLE,34300,0,0
2524,SONOS INC,COM,83570H108,4532913,264464,SH,SOLE,264464,0,0
2525,SOTERA HEALTH CO,COM,83601L102,187473,11126,SH,SOLE,11126,0,0
2526,SOUTHERN CO,COM,842587107,83748944,1194366,SH,SOLE,1194366,0,0
2527,SOUTHERN COPPER CORP,COM,84265V105,4731870,54977,SH,SOLE,54977,0,0
2528,SOUTHSTATE CORPORATION,COM,840441109,14534858,172112,SH,SOLE,172112,0,0
2529,SOUTHWEST AIRLS CO,COM,844741108,2934843,101622,SH,SOLE,101622,0,0
2530,SOUTHWEST AIRLS CO,COM,844741108,5776000,200000,SH,SOLE,200000,0,0
2531,SOUTHWESTERN ENERGY CO,COM,845467109,238970,36484,SH,SOLE,36484,0,0
2532,SOVOS BRANDS INC,COM,84612U107,9913500,450000,SH,SOLE,450000,0,0
2533,SOVOS BRANDS INC,COM,84612U107,26436000,1200000,SH,SOLE,1200000,0,0
2534,SPDR DOW JONES INDL AVERAGE,UT SER 1,78467X109,1507480,4000,SH,SOLE,4000,0,0
2535,SPDR DOW JONES INDL AVERAGE,UT SER 1,78467X109,122143567,324100,SH,SOLE,324100,0,0
